id,source_platform,title,source_url,authority_tier,severity_estimated,severity_analysis_label,blast_radius,source_has_availability_term,source_has_remote_trigger_term,evidence_screen,exact_diff_duplicate,duplicate_group,needs_source_review,root_cause,attack_path,label,severity_why
08c1cedc48562681,geth,"cmd, core, tests: avoid hashing the code in the VM",https://github.com/ethereum/go-ethereum/pull/3067,B_corroborated,High,tier-uncertain,spec_level,True,False,availability_term_only,False,,True,resource_exhaustion,crafted_state,sync,"A single transaction can cause resource exhaustion in the dominant client, potentially bringing down >33% of the network."
204dd28eca18ee54,geth,rlp: input limit and other corrections,https://github.com/ethereum/go-ethereum/pull/711,B_corroborated,High,tier-uncertain,spec_level,True,False,availability_term_only,False,,True,integer_overflow_underflow,malicious_p2p_message,transactions,A remote P2P message causing an integer overflow/panic in a dominant client (>45%) crashes a large enough portion of the network to meet the High severity threshold.
2c3bbe2fa018f083,geth,triedb/pathdb: fix state revert on v2 history,https://github.com/ethereum/go-ethereum/pull/31060,B_corroborated,High,tier-uncertain,spec_level,True,False,availability_term_only,False,,True,consensus_divergence,crafted_state,state-trie,A single crafted transaction causing a panic in a client with >33% market share takes down a significant portion of the network.
61ef89e2ab534b32,geth,eth/fetcher: fix announcement drop logic,https://github.com/ethereum/go-ethereum/pull/32210,B_corroborated,High,tier-uncertain,client_specific,True,False,availability_term_only,True,diff-81041f746b64,True,integer_overflow_underflow,malformed_input,test,"A single malformed network packet can crash the dominant client, which accounts for >33% of the network nodes."
6fb978f0fdf9b0f0,geth,params: add osaka blob schedule,https://github.com/ethereum/go-ethereum/pull/31174,B_corroborated,High,tier-uncertain,spec_level,True,False,availability_term_only,False,,True,consensus_divergence,malformed_input,blobs,A crash in blob schedule calculations for the dominant client during a fork transition would bring down >33% of the network.
78dc88cabdf32dd2,geth,p2p/discover: fix nil-dereference due to race,https://github.com/ethereum/go-ethereum/pull/19562,B_corroborated,High,tier-uncertain,client_specific,True,False,availability_term_only,False,,True,unhandled_error_or_nil,malicious_p2p_message,p2p,"A remote p2p message triggering a panic in the dominant client crashes nodes, potentially bringing down >33% of the network."
79a5734dcb98024d,geth,trie: fix delete bug for values contained in fullNode,https://github.com/ethereum/go-ethereum/pull/3062,B_corroborated,High,tier-uncertain,spec_level,True,False,availability_term_only,False,,True,consensus_divergence,malformed_input,state-trie,A single transaction triggering a crash in the dominant client (>33% market share) causes a network-scale DOS.
7dce34f9c4b9981e,geth,eth/fetcher: fix announcement drop logic (#32210),https://github.com/ethereum/go-ethereum/commit/e9e12a97d27ccaa3a11b80f03b897a515ed44aa2,B_corroborated,High,tier-uncertain,client_specific,True,False,availability_term_only,True,diff-81041f746b64,True,integer_overflow_underflow,malformed_input,test,"A single malformed network packet can cause a runtime panic and crash the node; since this client is dominant (>33%), it meets the High severity threshold for bringing down >33% of the network."
83cccb979a249f1e,geth,core/txpool: implement additional DoS defenses (#26648),https://github.com/ethereum/go-ethereum/commit/6cf2e921a79c2ac914f8b413f3c689919a60110f,B_corroborated,High,tier-uncertain,client_specific,True,False,availability_term_only,False,,True,resource_exhaustion,malformed_input,txpool,"The fix addresses a DoS vulnerability in the txpool of a dominant client; since a single tx could crash >33% of the network's execution nodes, it maps to High."
956db92119294822,geth,core/state: filter out nil trie for copy,https://github.com/ethereum/go-ethereum/pull/25575,B_corroborated,High,tier-uncertain,client_specific,True,False,availability_term_only,False,,True,resource_exhaustion,crafted_state,state-trie,A panic in the dominant client (~45-55%) triggered by a single transaction would bring down >33% of the network.
